Frame_number,centre_x,centre_y,width,height
0.0,145.0,307.5,236.0,187.0
1.0,146.76,307.21999999999997,235.36,185.48
2.0,148.52,306.94,234.72,183.96
3.0,150.28,306.65999999999997,234.07999999999998,182.44
4.0,152.04,306.38,233.44,180.92
5.0,153.79999999999998,306.1,232.79999999999998,179.4
6.0,155.56,305.82,232.15999999999997,177.88
7.0,157.32,305.54,231.51999999999998,176.36
8.0,159.07999999999998,305.26,230.88,174.84
9.0,160.83999999999997,304.98,230.23999999999998,173.32
10.0,162.6,304.70000000000005,229.59999999999997,171.8
11.0,164.35999999999999,304.42,228.95999999999998,170.28
12.0,166.11999999999998,304.14,228.31999999999996,168.76
13.0,167.88000000000002,303.86,227.68000000000004,167.24
14.0,169.64000000000001,303.58,227.04000000000002,165.72
15.0,171.4,303.29999999999995,226.40000000000003,164.2
16.0,173.16000000000003,303.02,225.76000000000002,162.68
17.0,174.92000000000002,302.74,225.12,161.16
18.0,176.68,302.46,224.48000000000002,159.64
19.0,178.44,302.18,223.84,158.12
20.0,180.2,301.9,223.20000000000002,156.6
21.0,181.96,301.62,222.56,155.08
22.0,183.72,301.34000000000003,221.92000000000002,153.56
23.0,185.48000000000002,301.06,221.28,152.04
24.0,187.24,300.78000000000003,220.64,150.52
25.0,189.0,300.5,220.0,149.0
26.0,189.22,299.62,219.8,150.67999999999998
27.0,189.44,298.74,219.60000000000002,152.36
28.0,189.66,297.86,219.40000000000003,154.04
29.0,189.88,296.98,219.20000000000002,155.71999999999997
30.0,190.10000000000002,296.1,219.00000000000003,157.4
31.0,190.32000000000002,295.22,218.8,159.07999999999998
32.0,190.54,294.34000000000003,218.59999999999997,160.76000000000002
33.0,190.76,293.46000000000004,218.39999999999998,162.44
34.0,190.98,292.58,218.2,164.11999999999998
35.0,191.2,291.70000000000005,218.0,165.8
36.0,191.42,290.82,217.8,167.48
37.0,191.64,289.94,217.6,169.15999999999997
38.0,191.86,289.06,217.4,170.84000000000003
39.0,192.08,288.18,217.2,172.51999999999998
40.0,192.3,287.29999999999995,217.0,174.2
41.0,192.52,286.42,216.8,175.88000000000002
42.0,192.74,285.53999999999996,216.60000000000002,177.56
43.0,192.96,284.65999999999997,216.40000000000003,179.23999999999998
44.0,193.17999999999998,283.78,216.2,180.92000000000002
45.0,193.39999999999998,282.9,215.99999999999997,182.6
46.0,193.62,282.02,215.79999999999998,184.28000000000003
